timestamp,from_height,to_height,errors,time_taken
2023-05-13T00:00:12.575Z,472391,472391,0,0.31604745
2023-05-13T00:00:22.960Z,280502,280601,0,4200.943984111
2023-05-13T00:00:22.960Z,472234,472234,0,0.000077277
2023-05-13T00:00:23.371Z,472392,472392,0,0.302675037
2023-05-13T00:00:25.867Z,280402,280501,0,4726.668832131
2023-05-13T00:00:34.335Z,472393,472393,0,0.306611329
2023-05-13T00:00:44.902Z,472394,472394,0,0.156160204
2023-05-13T00:00:55.815Z,472395,472395,0,0.154294635
2023-05-13T00:01:06.790Z,472396,472396,0,0.254348946
2023-05-13T00:01:17.429Z,472397,472397,0,0.157319441
2023-05-13T00:01:28.103Z,472398,472398,0,0.155223384
2023-05-13T00:01:38.973Z,472399,472399,0,0.167799726
2023-05-13T00:01:49.702Z,472400,472400,0,0.161901366
2023-05-13T00:02:00.468Z,472401,472401,0,0.161069466
2023-05-13T00:02:11.144Z,472402,472402,0,0.160885269
2023-05-13T00:02:21.980Z,472403,472403,0,0.15660959
2023-05-13T00:02:32.886Z,472404,472404,0,0.155971347
2023-05-13T00:02:43.630Z,472405,472405,0,0.15853897
2023-05-13T00:02:54.311Z,472406,472406,0,0.154606924
2023-05-13T00:03:04.980Z,472407,472407,0,0.159075658
2023-05-13T00:03:16.078Z,472408,472408,0,0.157960186
2023-05-13T00:03:27.392Z,472409,472409,0,0.152596044
2023-05-13T00:03:38.225Z,472410,472410,0,0.155154489
2023-05-13T00:03:49.002Z,472411,472411,0,0.156873905
2023-05-13T00:03:59.818Z,472412,472412,0,0.15526842
2023-05-13T00:04:10.619Z,472413,472413,0,0.156613545
2023-05-13T00:04:21.490Z,472414,472414,0,0.154679975
2023-05-13T00:04:32.293Z,472415,472415,0,0.155455494
2023-05-13T00:04:43.027Z,472416,472416,0,0.155628074
2023-05-13T00:04:53.977Z,472417,472417,0,0.161194959
2023-05-13T00:05:04.761Z,472418,472418,0,0.151182754
2023-05-13T00:05:15.522Z,472419,472419,0,0.156077377
2023-05-13T00:05:26.266Z,472420,472420,0,0.162282236
2023-05-13T00:05:37.078Z,472421,472421,0,0.155629018
2023-05-13T00:05:48.060Z,472422,472422,0,0.15425372
2023-05-13T00:05:58.998Z,472423,472423,0,0.156052337
2023-05-13T00:06:09.962Z,472424,472424,0,0.155415257
2023-05-13T00:06:20.644Z,472425,472425,0,0.155513466
2023-05-13T00:06:31.421Z,472426,472426,0,0.156384506
2023-05-13T00:06:42.175Z,472427,472427,0,0.154928255
2023-05-13T00:06:52.945Z,472428,472428,0,0.149061192
2023-05-13T00:07:03.642Z,472429,472429,0,0.15552808
2023-05-13T00:07:14.537Z,472430,472430,0,0.154038176
2023-05-13T00:07:25.321Z,472431,472431,0,0.153404379
2023-05-13T00:07:36.134Z,472432,472432,0,0.154824977
2023-05-13T00:07:47.088Z,472433,472433,0,0.157559447
2023-05-13T00:07:57.935Z,472434,472434,0,0.156088036
2023-05-13T00:08:08.700Z,472435,472435,0,0.155776985
2023-05-13T00:08:19.919Z,472436,472436,0,0.15209285
2023-05-13T00:08:31.084Z,472437,472437,0,0.153035416
2023-05-13T00:08:41.892Z,472438,472438,0,0.153258051
2023-05-13T00:08:52.577Z,472439,472439,0,0.148407354
2023-05-13T00:09:03.289Z,472440,472440,0,0.153524593
2023-05-13T00:09:14.054Z,472441,472441,0,0.153072013
2023-05-13T00:09:24.839Z,472442,472442,0,0.155124142
2023-05-13T00:09:35.630Z,472443,472443,0,0.155034793
2023-05-13T00:09:46.689Z,472444,472444,0,0.155023893
2023-05-13T00:09:58.069Z,472445,472445,0,0.154497882
2023-05-13T00:10:08.927Z,472446,472446,0,0.289085012
2023-05-13T00:10:19.752Z,472447,472447,0,0.337189425
2023-05-13T00:10:30.483Z,472448,472448,0,0.28760156
2023-05-13T00:10:41.386Z,472449,472449,0,0.287732351
2023-05-13T00:10:52.176Z,472450,472450,0,0.292993966
2023-05-13T00:11:03.376Z,472451,472451,0,0.288304086
2023-05-13T00:11:14.385Z,472452,472452,0,0.288649785
2023-05-13T00:11:25.146Z,472453,472453,0,0.286273129
2023-05-13T00:11:35.840Z,472454,472454,0,0.287477986
2023-05-13T00:11:46.607Z,472455,472455,0,0.32654146
2023-05-13T00:11:57.393Z,472456,472456,0,0.326401799
2023-05-13T00:12:19.097Z,472458,472458,0,0.334115125
2023-05-13T00:12:30.639Z,472459,472459,0,0.327711257
2023-05-13T00:13:03.090Z,472462,472462,0,0.303069953
2023-05-13T00:13:08.619Z,472457,472457,0,60.518341848
2023-05-13T00:13:35.622Z,472465,472465,0,0.347273214
2023-05-13T00:13:46.784Z,472466,472466,0,0.491583874
2023-05-13T00:13:56.967Z,472463,472463,0,43.276117549
2023-05-13T00:14:12.567Z,472460,472460,0,91.417656673
2023-05-13T00:14:19.034Z,472469,472469,0,0.364928364
2023-05-13T00:14:23.432Z,472461,472461,0,91.38062322
2023-05-13T00:14:24.799Z,472464,472464,0,60.193771495
2023-05-13T00:14:27.058Z,472467,472467,0,30.017214663
2023-05-13T00:14:51.697Z,472472,472472,0,0.486410823
2023-05-13T00:15:00.189Z,472468,472468,0,52.364861296
2023-05-13T00:15:03.503Z,472473,472473,0,0.951920824
2023-05-13T00:15:15.107Z,472474,472474,0,0.487516132
2023-05-13T00:15:40.853Z,472471,472471,0,60.429892406
2023-05-13T00:15:48.143Z,472476,472476,0,0.416011521
2023-05-13T00:15:58.998Z,472477,472477,0,0.437828034
2023-05-13T00:15:59.646Z,472470,472470,0,90.090093855
2023-05-13T00:16:31.255Z,472480,472480,0,0.49238924
2023-05-13T00:16:41.890Z,472481,472481,0,0.352631829
2023-05-13T00:16:52.697Z,472482,472482,0,0.343064283
